case_id,scenario_category,scenario_summary,primary_persona_code,primary_persona_name,primary_priority,primary_failure_tendency,challenger_persona_code,challenger_persona_name,adversarial_pressure,challenger_argument,initial_recommended_action,initial_route,initial_decision_owner,initial_reasoning,initial_bias,governed_final_action,governed_final_route,governed_decision_owner,decision_changed,change_reason,required_evidence_pipe_delimited,message_facts_pipe_delimited,confidence_1_to_5,leader_response_first_person,simulated_handoff_target,economic_or_customer_tradeoff,control_applied,evidence_class,independence_status,timing_status,claim_boundary
SCC-01-HO2-021,partial-fulfilment-with-stock,EUR 23.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; policy result RESHIP_MISSING via delegated.,P-CUST,Customer Recovery Advocate,Restore customer clarity and momentum with the least avoidable friction.,May promise or remedy too early when empathy outruns evidence and authority.,P-WORK,Workflow Owner,A frustrated customer needs a clear answer now; delay may create another contact.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",RESHIP_MISSING,delegated,customer_recovery_specialist,The Customer Recovery Advocate lens identifies missing_quantity_confirmed and selects the policy route.,policy-aligned-persona-lens,RESHIP_MISSING,delegated,customer_recovery_specialist,false,Retained after the Workflow Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,5,"I select reship because replacement stock is reservable and the customer did not request a refund. I route the EUR 23.00 exposure to customer_recovery_specialist, with execution and reservation still requiring verification.",customer_recovery_specialist,Faster physical recovery consumes stock and requires verified reservation and delivery follow-through.,"Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-022,partial-fulfilment-refund,EUR 22.00 affected on EUR 80.00 order; carrier DELAYED; preference refund_missing; policy result REFUND_MISSING via delegated.,P-OPS,Fulfilment Operations Coordinator,"Maintain case flow while reconciling OMS, WMS, carrier, and inventory evidence.",May optimise queue flow or stock availability before checking customer preference and authority.,P-WORK,Workflow Owner,The exception queue is growing; another handoff threatens cycle time and rework.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",RESHIP_MISSING,delegated,customer_recovery_specialist,"Stock is reservable, so a reship is faster than refunding.",stock-availability-over-preference,REFUND_MISSING,delegated,customer_recovery_specialist,true,Changed after the Workflow Owner challenge exposed stock-availability-over-preference; the frozen policy requires REFUND_MISSING via delegated.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,3,I select refund because replacement is unavailable or not the chosen recovery. I route the EUR 22.00 exposure to customer_recovery_specialist and state clearly that recommendation is not verified payment execution.,customer_recovery_specialist,"Cash is returned instead of consuming stock, but execution must be separately verified.","Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-023,unresolved-action-state,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; prior RESHIP_MISSING is UNVERIFIED; policy result ESCALATE_ACTION_RECOVERY via specialist.,P-WORK,Workflow Owner,"Balance customer outcome, flow, unit economics, and explicit decision rights.",May let throughput or economics create a quiet policy override.,P-TECH,Technical Reliability Owner,The workflow must protect both customer value and sustainable unit economics.,"Technical Reliability Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",RESHIP_MISSING,approval,workflow_owner,The previous reship is unverified; approve a replacement reship to restore momentum.,new-remedy-over-action-recovery,ESCALATE_ACTION_RECOVERY,specialist,technical_owner,true,Changed after the Technical Reliability Owner challenge exposed new-remedy-over-action-recovery; the frozen policy requires ESCALATE_ACTION_RECOVERY via specialist.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,"I separate a status label from proven execution. The prior action is UNVERIFIED, so I route to technical_owner for action recovery instead of creating a second remedy.",technical_owner,Extra investigation is accepted to avoid a duplicate refund or replacement.,"Action-state recovery, authoritative postcondition, and duplicate-action prevention.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-024,unresolved-action-state,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; prior REFUND_MISSING is PENDING; duplicate trigger; policy result ESCALATE_ACTION_RECOVERY via specialist.,P-TECH,Technical Reliability Owner,Prevent duplicate actions and distinguish recommendations from verified postconditions.,May trust a platform status label or over-focus on system state at the expense of the whole journey.,P-WORK,Workflow Owner,A misleading status or duplicate write could create an irreversible second remedy.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",NO_ACTION_DUPLICATE_SIGNAL,delegated,customer_recovery_specialist,"The trigger is a duplicate, so suppress it without investigating the pending refund.",lower-priority-rule-first,ESCALATE_ACTION_RECOVERY,specialist,technical_owner,true,Changed after the Workflow Owner challenge exposed lower-priority-rule-first; the frozen policy requires ESCALATE_ACTION_RECOVERY via specialist.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,"I separate a status label from proven execution. The prior action is PENDING, so I route to technical_owner for action recovery instead of creating a second remedy.",technical_owner,Extra investigation is accepted to avoid a duplicate refund or replacement.,"Action-state recovery, authoritative postcondition, and duplicate-action prevention.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-025,evidence-integrity-stop,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; PAYMENT missing; policy result ESCALATE_EVIDENCE via specialist.,P-RISK,Policy and Risk Owner,"Stop unsafe, fraudulent, privacy-sensitive, or chargeback-conflicted action.",May convert ordinary ambiguity into excessive specialist escalation.,P-OPS,Fulfilment Operations Coordinator,A consequential action must remain stopped if the risk classification is unresolved.,"Fulfilment Operations Coordinator tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",ESCALATE_EVIDENCE,specialist,fulfilment_operations_coordinator,The Policy and Risk Owner lens identifies missing:PAYMENT and selects the policy route.,policy-aligned-persona-lens,ESCALATE_EVIDENCE,specialist,fulfilment_operations_coordinator,false,Retained after the Fulfilment Operations Coordinator challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,4,"I do not turn queue pressure into an unsupported financial or stock action. Because missing:PAYMENT, I route to fulfilment_operations_coordinator and preserve an evidence-first stop.",fulfilment_operations_coordinator,Queue delay is accepted to prevent an unsupported remedy from incomplete or conflicting evidence.,"Evidence completeness, freshness, conflict detection, and fail-closed routing.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-026,unresolved-action-state,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; prior REFUND_MISSING is FAILED_SAFE; policy result ESCALATE_ACTION_RECOVERY via specialist.,P-CUST,Customer Recovery Advocate,Restore customer clarity and momentum with the least avoidable friction.,May promise or remedy too early when empathy outruns evidence and authority.,P-TECH,Technical Reliability Owner,A frustrated customer needs a clear answer now; delay may create another contact.,"Technical Reliability Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",ESCALATE_ACTION_RECOVERY,specialist,technical_owner,The Customer Recovery Advocate lens identifies prior_action:failed_safe and selects the policy route.,policy-aligned-persona-lens,ESCALATE_ACTION_RECOVERY,specialist,technical_owner,false,Retained after the Technical Reliability Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,4,"I separate a status label from proven execution. The prior action is FAILED_SAFE, so I route to technical_owner for action recovery instead of creating a second remedy.",technical_owner,Extra investigation is accepted to avoid a duplicate refund or replacement.,"Action-state recovery, authoritative postcondition, and duplicate-action prevention.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-027,partial-fulfilment-with-stock,EUR 25.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; policy result RESHIP_MISSING via delegated.,P-OPS,Fulfilment Operations Coordinator,"Maintain case flow while reconciling OMS, WMS, carrier, and inventory evidence.",May optimise queue flow or stock availability before checking customer preference and authority.,P-WORK,Workflow Owner,The exception queue is growing; another handoff threatens cycle time and rework.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",RESHIP_MISSING,approval,workflow_owner,Treat the exact threshold as approval territory to be conservative.,inclusive-threshold-error,RESHIP_MISSING,delegated,customer_recovery_specialist,true,Changed after the Workflow Owner challenge exposed inclusive-threshold-error; the frozen policy requires RESHIP_MISSING via delegated.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,3,"I select reship because replacement stock is reservable and the customer did not request a refund. I route the EUR 25.00 exposure to customer_recovery_specialist, with execution and reservation still requiring verification.",customer_recovery_specialist,Faster physical recovery consumes stock and requires verified reservation and delivery follow-through.,"Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-028,partial-fulfilment-with-stock,EUR 24.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; policy result RESHIP_MISSING via delegated.,P-WORK,Workflow Owner,"Balance customer outcome, flow, unit economics, and explicit decision rights.",May let throughput or economics create a quiet policy override.,P-RISK,Policy and Risk Owner,The workflow must protect both customer value and sustainable unit economics.,"Policy and Risk Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",RESHIP_MISSING,delegated,customer_recovery_specialist,The Workflow Owner lens identifies missing_quantity_confirmed and selects the policy route.,policy-aligned-persona-lens,RESHIP_MISSING,delegated,customer_recovery_specialist,false,Retained after the Policy and Risk Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|replacement_requires_verified_execution,5,"I select reship because replacement stock is reservable and the customer did not request a refund. I route the EUR 24.00 exposure to customer_recovery_specialist, with execution and reservation still requiring verification.",customer_recovery_specialist,Faster physical recovery consumes stock and requires verified reservation and delivery follow-through.,"Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-029,partial-fulfilment-refund,EUR 18.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; repeat recovery; policy result REFUND_MISSING via approval.,P-TECH,Technical Reliability Owner,Prevent duplicate actions and distinguish recommendations from verified postconditions.,May trust a platform status label or over-focus on system state at the expense of the whole journey.,P-WORK,Workflow Owner,A misleading status or duplicate write could create an irreversible second remedy.,"Workflow Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",REFUND_MISSING,delegated,customer_recovery_specialist,The affected value is small enough for delegated refund handling.,repeat-recovery-missed,REFUND_MISSING,approval,workflow_owner,true,Changed after the Workflow Owner challenge exposed repeat-recovery-missed; the frozen policy requires REFUND_MISSING via approval.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review|refund_requires_verified_execution,3,I select refund because replacement is unavailable or not the chosen recovery. I route the EUR 18.00 exposure to workflow_owner and state clearly that recommendation is not verified payment execution.,workflow_owner,"Cash is returned instead of consuming stock, but execution must be separately verified.","Authority threshold, exact confirmation before execution, and postcondition verification.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-030,evidence-integrity-stop,EUR 20.00 affected on EUR 80.00 order; carrier DELIVERED; preference fastest_recovery; source conflict; policy result ESCALATE_EVIDENCE via specialist.,P-RISK,Policy and Risk Owner,"Stop unsafe, fraudulent, privacy-sensitive, or chargeback-conflicted action.",May convert ordinary ambiguity into excessive specialist escalation.,P-OPS,Fulfilment Operations Coordinator,A consequential action must remain stopped if the risk classification is unresolved.,"Fulfilment Operations Coordinator tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",ESCALATE_SPECIALIST,specialist,policy_and_risk_owner,Conflicting delivery evidence is broadly risky; route it to Policy and Risk.,conflict-treated-as-risk,ESCALATE_EVIDENCE,specialist,fulfilment_operations_coordinator,true,Changed after the Fulfilment Operations Coordinator challenge exposed conflict-treated-as-risk; the frozen policy requires ESCALATE_EVIDENCE via specialist.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,"I do not turn queue pressure into an unsupported financial or stock action. Because source_conflict, I route to fulfilment_operations_coordinator and preserve an evidence-first stop.",fulfilment_operations_coordinator,Queue delay is accepted to prevent an unsupported remedy from incomplete or conflicting evidence.,"Evidence completeness, freshness, conflict detection, and fail-closed routing.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-031,risk-or-chargeback-stop,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; active chargeback; policy result ESCALATE_SPECIALIST via specialist.,P-CUST,Customer Recovery Advocate,Restore customer clarity and momentum with the least avoidable friction.,May promise or remedy too early when empathy outruns evidence and authority.,P-RISK,Policy and Risk Owner,A frustrated customer needs a clear answer now; delay may create another contact.,"Policy and Risk Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",REFUND_MISSING,delegated,customer_recovery_specialist,Refund the missing value now so the customer is not forced to wait for dispute handling.,customer-remedy-over-chargeback-stop,ESCALATE_SPECIALIST,specialist,policy_and_risk_owner,true,Changed after the Policy and Risk Owner challenge exposed customer-remedy-over-chargeback-stop; the frozen policy requires ESCALATE_SPECIALIST via specialist.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,3,I stop remedy selection before speed or empathy can override the active_chargeback signal. I route the EUR 20.00 case to policy_and_risk_owner and allow only supported under-review messaging.,policy_and_risk_owner,"Slower recovery is accepted to prevent unsafe, fraudulent, privacy-sensitive, or chargeback-conflicted action.","Risk-stop priority, least authority, and specialist ownership.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
SCC-01-HO2-032,unresolved-action-state,EUR 20.00 affected on EUR 80.00 order; carrier DELAYED; preference fastest_recovery; prior REFUND_MISSING is PENDING; policy result ESCALATE_ACTION_RECOVERY via specialist.,P-OPS,Fulfilment Operations Coordinator,"Maintain case flow while reconciling OMS, WMS, carrier, and inventory evidence.",May optimise queue flow or stock availability before checking customer preference and authority.,P-TECH,Technical Reliability Owner,The exception queue is growing; another handoff threatens cycle time and rework.,"Technical Reliability Owner tests decision priority, evidence, authority, and verified-outcome boundaries before the leader adjudicates.",ESCALATE_ACTION_RECOVERY,specialist,technical_owner,The Fulfilment Operations Coordinator lens identifies prior_action:pending and selects the policy route.,policy-aligned-persona-lens,ESCALATE_ACTION_RECOVERY,specialist,technical_owner,false,Retained after the Technical Reliability Owner challenge confirmed the first decision against the frozen policy.,CARRIER|CRM|INVENTORY|OMS|PAYMENT|POLICY|WMS,case_received|order_reference_confirmed|recovery_under_review,4,"I separate a status label from proven execution. The prior action is PENDING, so I route to technical_owner for action recovery instead of creating a second remedy.",technical_owner,Extra investigation is accepted to avoid a duplicate refund or replacement.,"Action-state recovery, authoritative postcondition, and duplicate-action prevention.",ai-assisted-synthetic-practice,simulated-lenses-not-independent-reviewers,not-human-observed,"Shows policy application and adversarial design practice; does not show human performance, independent review, adoption, execution, or business outcomes."
